Country,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Cases/Million,Total Deaths/Million,ICU Patients/Million,Hospital Patients/Million,Total Tests/Million,New tests/Million,Positive Rate,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Vaccinations,Population,GDP / capita
Bangladesh,09/01/2021,521382,692,7756,22,3165.851,47.095,0,0,20.291,0.078,0.065,0,0,0,0,164689383,3523.984
Bangladesh,09/02/2021,538765,387,8229,8,3271.401,49.967,0,0,22.918,0.088,0.027,179318,179318,0,0,164689383,3523.984
Bangladesh,10/01/2021,522453,1071,7781,25,3172.354,47.247,0,0,20.37,0.078,0.066,0,0,0,0,164689383,3523.984
Bangladesh,10/02/2021,539153,388,8239,10,3273.757,50.028,0,0,23.009,0.091,0.027,337769,337769,0,158451,164689383,3523.984
Bangladesh,11/01/2021,523302,849,7803,22,3177.509,47.38,0,0,20.455,0.086,0.063,0,0,0,0,164689383,3523.984
Bangladesh,11/02/2021,539531,378,8248,9,3276.052,50.082,0,0,23.105,0.096,0.025,0,0,0,0,164689383,3523.984
Bangladesh,12/01/2021,524020,718,7819,16,3181.869,47.477,0,0,20.542,0.087,0.061,0,0,0,0,164689383,3523.984
Bangladesh,12/02/2021,539975,444,8253,5,3278.748,50.113,0,0,23.192,0.087,0.026,0,0,0,0,164689383,3523.984
Bangladesh,13/01/2021,524910,890,7833,14,3187.273,47.562,0,0,20.638,0.095,0.06,0,0,0,0,164689383,3523.984
Bangladesh,13/02/2021,540266,291,8266,13,3280.515,50.191,0,0,23.27,0.078,0.025,736680,736680,0,0,164689383,3523.984
Bangladesh,14/01/2021,525723,813,7849,16,3192.209,47.659,0,0,20.739,0.101,0.057,0,0,0,0,164689383,3523.984
Bangladesh,14/02/2021,540592,326,8274,8,3282.495,50.24,0,0,23.348,0.078,0.026,906033,906033,0,169353,164689383,3523.984
Bangladesh,15/01/2021,526485,762,7862,13,3196.836,47.738,0,0,20.822,0.083,0.058,0,0,0,0,164689383,3523.984
Bangladesh,15/02/2021,541038,446,8285,11,3285.203,50.307,0,0,23.434,0.086,0.027,1132711,1132711,0,226678,164689383,3523.984
Bangladesh,16/01/2021,527063,578,7883,21,3200.346,47.866,0,0,20.896,0.074,0.057,0,0,0,0,164689383,3523.984
Bangladesh,16/02/2021,541434,396,8298,13,3287.607,50.386,0,0,23.524,0.09,0.027,1359613,1359613,0,226902,164689383,3523.984
Bangladesh,17/01/2021,527632,569,7906,23,3203.801,48.006,0,0,20.978,0.082,0.052,0,0,0,0,164689383,3523.984
Bangladesh,17/02/2021,541877,443,8314,16,3290.297,50.483,0,0,23.625,0.101,0.027,1586368,1586368,0,226755,164689383,3523.984
Bangladesh,18/01/2021,528329,697,7922,16,3208.033,48.103,0,0,21.055,0.077,0.051,0,0,0,0,164689383,3523.984
Bangladesh,18/02/2021,542268,391,8329,15,3292.671,50.574,0,0,23.713,0.089,0.027,1848313,1848313,0,261945,164689383,3523.984
Bangladesh,19/01/2021,529031,702,7942,20,3212.296,48.224,0,0,21.146,0.092,0.05,0,0,0,0,164689383,3523.984
Bangladesh,19/02/2021,542674,406,8337,8,3295.137,50.623,0,0,23.8,0.086,0.027,0,0,0,0,164689383,3523.984
Bangladesh,20/01/2021,529687,656,7950,8,3216.279,48.273,0,0,21.24,0.094,0.048,0,0,0,0,164689383,3523.984
Bangladesh,20/02/2021,543024,350,8342,5,3297.262,50.653,0,0,23.867,0.068,0.028,2082877,2082877,0,0,164689383,3523.984
Bangladesh,21/01/2021,530271,584,7966,16,3219.825,48.37,0,0,21.33,0.09,0.047,0,0,0,0,164689383,3523.984
Bangladesh,21/02/2021,543351,327,8349,7,3299.247,50.695,0,0,23.953,0.085,0.028,0,0,0,0,164689383,3523.984
Bangladesh,22/01/2021,530890,619,7981,15,3223.584,48.461,0,0,21.42,0.09,0.045,0,0,0,0,164689383,3523.984
Bangladesh,22/02/2021,543717,366,8356,7,3301.47,50.738,0,0,24.02,0.067,0.028,2308157,2308157,0,0,164689383,3523.984
Bangladesh,23/01/2021,531326,436,8003,22,3226.231,48.595,0,0,21.487,0.067,0.044,0,0,0,0,164689383,3523.984
Bangladesh,23/02/2021,544116,399,8374,18,3303.892,50.847,0,0,24.097,0.077,0.028,2491053,2491053,0,182896,164689383,3523.984
Bangladesh,24/01/2021,531799,473,8023,20,3229.103,48.716,0,0,21.573,0.086,0.042,0,0,0,0,164689383,3523.984
Bangladesh,24/02/2021,544544,428,8379,5,3306.491,50.878,0,0,24.196,0.098,0.028,2673038,2673038,0,181985,164689383,3523.984
Bangladesh,25/01/2021,532401,602,8041,18,3232.758,48.825,0,0,21.663,0.09,0.041,0,0,0,0,164689383,3523.984
Bangladesh,25/02/2021,544954,410,8384,5,3308.981,50.908,0,0,24.29,0.094,0.028,2850940,2850940,0,177902,164689383,3523.984
Bangladesh,26/01/2021,532916,515,8055,14,3235.886,48.91,0,0,21.751,0.087,0.039,0,0,0,0,164689383,3523.984
Bangladesh,26/02/2021,545424,470,8395,11,3311.835,50.975,0,0,24.381,0.091,0.029,0,0,0,0,164689383,3523.984
Bangladesh,27/01/2021,533444,528,8072,17,3239.092,49.013,0,0,21.846,0.095,0.038,26,26,0,26,164689383,3523.984
Bangladesh,27/02/2021,545831,407,8400,5,3314.306,51.005,0,0,24.456,0.075,0.029,2984773,2984773,0,0,164689383,3523.984
Bangladesh,28/01/2021,533953,509,8087,15,3242.182,49.105,0,0,21.936,0.09,0.037,567,567,0,541,164689383,3523.984
Bangladesh,28/02/2021,546216,385,8408,8,3316.644,51.054,0,0,24.538,0.081,0.03,3110525,3110525,0,125752,164689383,3523.984
Bangladesh,29/01/2021,534407,454,8094,7,3244.939,49.147,0,0,22.01,0.073,0.036,0,0,0,0,164689383,3523.984
Bangladesh,30/01/2021,534770,363,8111,17,3247.143,49.25,0,0,22.083,0.073,0.035,0,0,0,0,164689383,3523.984
Bangladesh,31/01/2021,535139,369,8127,16,3249.384,49.347,0,0,22.157,0.074,0.035,0,0,0,0,164689383,3523.984
